ID_Event,DeclaredDate
1,2016-04-08
2,2016-04-08
3,2016-04-08
4,2016-04-08
5,2016-04-22
6,2016-04-22
7,2016-04-22
8,2016-04-22
9,2016-04-22
10,2016-04-22
11,2016-04-22
12,2016-04-22
13,2016-04-22
14,2016-01-22
15,2015-12-04
16,2015-12-04
17,2015-12-04
18,2015-12-04
19,2014-04-02
20,2014-04-02
21,2014-04-02
22,2014-04-02
23,2014-04-02
24,2014-04-02
25,2014-04-02
26,2013-11-01
27,2013-11-01
28,2013-11-01
29,2013-11-01
30,2013-11-01
31,2013-11-01
32,2013-11-01
33,2013-11-01
34,2013-11-01
35,2014-01-30
36,2012-11-14
37,2012-11-14
38,2012-11-14
39,2012-11-14
40,2012-11-14
41,2012-11-14
42,2012-11-14
43,2011-01-21
44,2011-01-21
45,2011-01-21
46,2011-01-21
47,2011-01-21
48,2011-01-21
49,2011-01-21
50,2011-01-21
51,2011-01-21
52,2011-01-21
53,
54,
55,
56,
57,
58,
59,
60,2015-09-04
61,2015-09-04
62,2015-09-04
63,2015-09-04
64,2015-09-04
65,2015-09-04
66,2015-09-04
67,2015-09-04
68,2015-09-04
69,2015-09-04
70,2015-09-04
71,2015-09-04
72,2015-09-04
73,2015-09-04
74,2015-09-04
75,2015-09-04
76,2015-09-04
77,2015-09-04
78,2015-09-04
79,2015-09-04
80,2015-09-04
81,2015-09-04
82,2015-09-04
83,2014-10-10
84,2014-10-10
85,2014-10-10
86,2014-10-10
87,
88,
89,
90,
91,2011-01-21
92,2011-01-21
93,2011-01-21
94,2011-01-21
95,2011-01-21
96,2011-01-21
97,2011-01-21
98,2011-01-21
99,
100,2015-11-25
101,2015-11-25
102,2015-11-25
103,
104,2013-12-20
105,2013-12-20
106,2013-12-20
107,
108,2011-10-05
109,2011-01-21
110,2011-01-21
111,2011-01-21
112,2011-01-21
113,2011-01-21
114,2011-01-21
115,2011-01-21
116,2011-01-21
117,2011-01-21
118,2015-11-20
119,2015-11-20
120,2015-11-20
121,2015-11-20
122,2016-02-08
123,2015-11-20
124,2015-11-20
125,2015-11-20
126,2015-11-20
127,2015-11-20
128,2015-11-20
129,2015-11-20
130,2015-11-20
131,2015-11-20
132,2015-11-20
133,2015-11-20
134,2015-11-20
135,2015-11-20
136,2015-11-20
137,2015-11-20
138,2015-11-20
139,2015-11-20
140,2015-11-20
141,2015-11-20
142,2015-11-20
143,2015-11-20
144,2015-11-20
145,2015-11-20
146,2015-11-20
147,2015-11-20
148,2015-11-20
149,2016-02-08
150,2016-02-08
151,2016-02-08
152,2016-02-08
153,2016-02-08
154,2016-02-08
155,2016-02-08
156,2016-02-08
157,2016-02-08
158,2016-02-08
159,2016-02-08
160,2016-02-08
161,2016-02-08
162,2015-11-20
163,2015-11-20
164,2015-11-20
165,2015-11-20
166,2015-11-20
167,2014-12-17
168,2014-12-17
169,2014-12-17
170,2014-12-17
171,2014-12-17
172,2014-12-17
173,2014-12-17
174,2014-12-17
175,2014-12-17
176,2014-12-17
177,2014-12-17
178,2014-12-17
179,2014-12-17
180,2014-12-17
181,2014-12-17
182,2014-12-17
183,2014-12-17
184,2014-12-17
185,2014-12-17
186,2014-12-17
187,2014-12-17
188,2014-12-17
189,2014-12-17
190,2014-12-17
191,2014-12-17
192,2014-12-17
193,2014-12-17
194,2014-12-17
195,2014-12-17
196,2014-12-17
197,2014-12-17
198,2014-12-17
199,2014-12-17
200,2014-12-17
201,2014-10-29
202,2014-12-17
203,2014-12-17
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,2013-02-28
216,2013-02-28
217,
218,2013-02-28
219,2013-02-28
220,2013-02-28
221,2013-02-28
222,2013-02-28
223,2013-02-28
224,2013-02-28
225,2013-02-28
226,2012-03-14
227,2012-03-14
228,2012-03-14
229,2012-03-14
230,2012-03-14
231,2012-03-14
232,2012-03-14
233,2012-03-14
234,
235,
236,
237,2012-03-14
238,2012-03-14
239,2012-03-14
240,2012-03-14
241,2012-03-14
242,2012-03-14
243,2012-03-14
244,2012-03-14
245,2012-03-14
246,2012-03-14
247,2012-03-14
248,2012-03-14
249,2012-03-14
250,2012-03-14
251,2012-03-14
252,2012-03-14
253,2012-03-14
254,2012-03-14
255,2012-03-14
256,2012-03-14
257,2012-03-14
258,2012-03-14
259,2012-03-14
260,2012-03-14
261,2012-03-14
262,2012-03-14
263,2012-03-14
264,2012-03-14
265,2011-01-21
266,2011-01-21
267,2011-01-21
268,2011-01-21
269,2011-01-21
270,2011-01-21
271,2011-01-21
272,2011-01-21
273,2011-01-21
274,2011-01-21
275,2011-01-21
276,2011-01-21
277,2011-01-21
278,2011-01-21
279,
280,2011-01-21
281,2011-01-21
282,2011-01-21
283,2011-01-21
284,2011-01-21
285,2015-11-13
286,2015-11-13
287,2015-11-13
288,2015-11-13
289,2015-11-13
290,2015-11-13
291,2015-11-13
292,2015-11-13
293,2015-11-13
294,2015-11-13
295,2015-11-13
296,2015-11-13
297,2015-11-13
298,2015-11-13
299,2015-11-13
300,2015-11-13
301,2015-11-13
302,2015-11-13
303,2015-11-13
304,2015-11-13
305,2015-11-13
306,2015-11-13
307,2015-11-13
308,2015-11-13
309,2015-11-13
310,2015-11-13
311,2015-11-13
312,2015-11-13
313,
314,2013-10-01
315,2013-10-01
316,2013-10-01
317,2013-10-01
318,2013-10-01
319,2013-10-01
320,2013-10-01
321,2014-03-28
322,2014-03-28
323,2014-03-28
324,2014-03-28
325,2014-03-28
326,2014-03-28
327,2014-03-28
328,2014-03-28
329,2013-02-22
330,2013-02-22
331,2013-02-22
332,2013-02-22
333,2013-02-22
334,2012-02-17
335,2012-02-17
336,2012-02-17
337,2012-02-17
338,2012-02-17
339,2012-02-17
340,2012-02-17
341,2012-02-17
342,2012-02-17
343,2012-02-17
344,2011-01-21
345,2011-01-21
346,2011-01-21
347,2011-01-21
348,2011-01-21
349,2011-01-21
350,2011-01-21
351,2011-01-21
352,2015-12-04
353,2015-12-04
354,2015-12-04
355,2015-12-04
356,2015-12-04
357,2015-12-04
358,2015-12-04
359,2015-12-04
360,2015-12-04
361,2015-12-04
362,2015-12-04
363,2015-12-04
364,2015-12-04
365,2015-12-04
366,2015-12-04
367,2015-12-04
368,2015-12-04
369,2014-04-25
370,2014-04-25
371,2014-04-25
372,2014-04-25
373,2014-04-25
374,2014-04-25
375,2014-04-25
376,2014-04-25
377,2014-04-25
378,2014-04-25
379,2014-04-25
380,2014-04-25
381,2014-04-25
382,2014-04-25
383,2014-04-25
384,2012-01-27
385,2012-01-27
386,2012-01-27
387,2012-01-27
388,2012-01-27
389,2012-01-27
390,2012-01-27
391,2012-01-27
392,2012-01-27
393,2012-01-27
394,2011-01-21
395,2011-01-21
396,2011-01-21
397,2011-01-21
398,2011-01-21
399,2011-01-21
400,2011-01-21
401,2011-01-21
402,2011-01-21
403,2016-01-29
404,2016-01-29
405,2016-01-29
406,2016-01-29
407,2016-01-29
408,2016-01-29
409,2016-01-29
410,2016-01-29
411,2013-12-09
412,2013-12-09
413,2013-12-09
414,2013-12-09
415,2011-01-21
416,2011-01-21
417,2011-01-21
418,2011-01-21
419,2011-01-21
420,2011-01-21
421,2011-01-21
422,2015-07-25
423,2015-07-25
424,2015-07-25
425,2015-07-25
426,2015-07-25
427,2015-07-25
428,2015-07-25
429,2015-07-25
430,2015-07-25
431,2015-07-25
432,2015-07-25
433,2015-07-25
434,2015-07-25
435,2015-07-25
436,2015-07-25
437,2015-07-25
438,2015-07-25
439,2015-07-25
440,2015-07-25
441,2015-07-25
442,2015-07-25
443,2015-07-25
444,2011-08-14
445,2011-08-14
446,2013-09-06
447,2013-09-06
448,2013-09-06
449,2013-09-06
450,2013-09-06
451,2013-09-06
452,2013-09-06
453,2013-09-06
454,2013-09-06
455,2013-09-06
456,2013-09-06
457,2013-09-06
458,2013-09-06
459,2013-09-06
460,2013-09-06
461,2013-09-06
462,2013-09-06
463,2013-09-06
464,2011-01-21
465,2011-01-21
466,2011-01-21
467,2011-01-21
468,2011-01-21
469,2011-01-21
470,2011-01-21
471,2011-01-21
472,2011-01-21
473,2011-01-21
474,2011-01-21
475,2011-01-21
476,2011-01-21
477,2011-01-21
478,2011-01-21
479,2011-01-21
480,2011-01-21
481,2011-01-21
482,2011-01-21
483,2014-02-14
484,
485,2014-02-14
486,2014-02-14
487,2014-02-14
488,2013-12-13
489,2013-12-13
490,2013-12-13
491,2013-12-13
492,2013-12-13
493,2014-02-14
494,2014-02-14
495,2013-12-13
496,2014-02-14
497,2013-12-13
498,2013-12-13
499,2013-12-13
500,2014-02-14
501,2013-12-13
502,2014-02-14
503,2013-12-13
504,2013-12-13
505,2013-12-13
506,2012-11-30
507,2012-11-30
508,2012-11-30
509,2012-11-30
510,2012-11-30
511,2012-11-30
512,2012-11-30
513,2012-11-30
514,
515,
516,
517,
518,
519,2012-01-27
