ID_EVENT,TypeEvent,StartDate,EndDate,Location,AdminRegion,TypeSource,,PROVINCE,DISTRICT ,LM,WARD
1,Drought,,,,1,1,,EASTERN CAPE ,Joe Gqabi,Elundinin,
2,Drought,,,,,1,,EASTERN CAPE ,Joe Gqabi,Gariep,
3,Drought,,,,,1,,EASTERN CAPE ,Joe Gqabi,Maletswai,
4,Drought,,,,,1,,EASTERN CAPE ,Joe Gqabi,Senqu,
5,Drought,,,,,1,,EASTERN CAPE ,Amathole,,
6,Drought,,,,,1,,EASTERN CAPE ,Alfred Nzo,,
7,Drought,,,,,1,,EASTERN CAPE ,Chris Hani,,
8,Drought,,,,,1,,EASTERN CAPE ,Joe Gqabi,,
9,Drought,,,,,1,,EASTERN CAPE ,OR Tambo,,
10,Drought,,,,,1,,EASTERN CAPE ,Provincial Treasury,,
11,Drought,,,,,1,,EASTERN CAPE ,Dept of Rural Development,,
12,Drought,,,,,1,,EASTERN CAPE ,Dept of Agriculture,,
13,Drought,,,,,1,,EASTERN CAPE ,Dept of Water and Sanitation,,
14,Drought,,,,,1,,EASTERN CAPE ,Chris Hani,,
15,Drought,,,,,1,,EASTERN CAPE ,Joe Gqabi,Elundinin,
16,Drought,,,,,1,,EASTERN CAPE ,Joe Gqabi,Gariep,
17,Drought,,,,,1,,EASTERN CAPE ,Joe Gqabi,Maletswai,
18,Drought,,,,,1,,EASTERN CAPE ,Joe Gqabi,Senqu,
19,Hailstorm,2014-01-24,2014-01-24,,,1,,EASTERN CAPE ,Alfred Nzo,Ntabankulu,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
20,Hailstorm,2014-01-24,2014-01-24,,,1,,EASTERN CAPE ,Alfred Nzo,Mbizana,"3,4,6,7,9,15,17,25,28"
21,Hailstorm,2014-01-24,2014-01-24,,,1,,EASTERN CAPE ,Alfred Nzo,Umzimvubu,"4,5,6,7,8,9,11,12,16,19,20,23,25"
22,Hailstorm,2014-01-24,2014-01-24,,,1,,EASTERN CAPE ,Department of Human Settlements,,
23,Hailstorm,2014-01-24,2014-01-24,,,1,,EASTERN CAPE ,Department of Education,,
24,Hailstorm,2014-01-24,2014-01-24,,,1,,EASTERN CAPE ,Department of Roads and Public Works,,
25,Hailstorm,2014-01-24,2014-01-24,,,1,,EASTERN CAPE ,Department of Health,,
26,Floods & Hailstorm,2013-03-01,2014-03-01,,,1,,EASTERN CAPE ,Alfred Nzo,Mbizana,
27,Floods & Hailstorm,2013-04-18,2013-04-21,,,1,,EASTERN CAPE ,Alfred Nzo,Umzimvubu,
28,Floods & Hailstorm,2013-04-20,2013-04-21,,,1,,EASTERN CAPE ,OR Tambo,Nyandeni,
29,Floods & Hailstorm,2013-10-13,2013-10-13,,,1,,EASTERN CAPE ,OR Tambo,Ingquza Hill,
30,Floods & Hailstorm,2013-04-19,2013-04-23,,,1,,EASTERN CAPE ,OR Tambo,King Sabata Dalindyebo,
31,Floods & Hailstorm,2013-10-13,2013-10-13,,,1,,EASTERN CAPE ,OR Tambo,Port St Johns,
32,Floods & Hailstorm,2013-10-13,2013-10-13,,,1,,EASTERN CAPE ,OR Tambo,Mhlontlo,
33,Floods & Hailstorm,2013-04-13,2013-04-13,,,1,,EASTERN CAPE ,Amathole,Mnquma,
34,Floods & Hailstorm,2013-04-13,2013-04-13,,,1,,EASTERN CAPE ,Amathole,Mbhashe,
35,Drought,,,,,1,,EASTERN CAPE ,Joe Gqabi,,
36,Floods,2012-10-12,2012-10-12,,,1,,EASTERN CAPE ,Cacadu,Koukamma,
37,Floods,2012-10-12,2012-10-12,,,1,,EASTERN CAPE ,Cacadu,Ndlambe,
38,Floods,2012-10-12,2012-10-12,,,1,,EASTERN CAPE ,Cacadu,Kouga,
39,Floods,2012-10-12,2012-10-12,,,1,,EASTERN CAPE ,Cacadu,Makana,
40,Floods,2012-10-12,2012-10-12,,,1,,EASTERN CAPE ,Cacadu,Sunday's River Valley,
41,Floods,2012-10-12,2012-10-12,,,1,,EASTERN CAPE ,Nelson Mandela Bay Metro,,
42,Floods,2012-10-12,2012-10-12,,,1,,EASTERN CAPE ,Provincial Roads Department,,
43,Floods,2010-12-01,2011-01-01,,,1,,EASTERN CAPE ,Alfred Nzo,,
44,Floods,2010-12-01,2011-01-01,,,1,,EASTERN CAPE ,Amathole,,
45,Floods,2010-12-01,2011-01-01,,,1,,EASTERN CAPE ,Chris Hani,,
46,Floods,2010-12-01,2011-01-01,,,1,,EASTERN CAPE ,Joe Gqabi,,
47,Floods,2010-12-01,2011-01-01,,,1,,EASTERN CAPE ,OR Tambo,,
48,Floods,2010-12-01,2011-01-01,,,1,,EASTERN CAPE ,Department of Human Settlements,,
49,Floods,2010-12-01,2011-01-01,,,1,,EASTERN CAPE ,Department of Transport,,
50,Floods,2010-12-01,2011-01-01,,,1,,EASTERN CAPE ,Department of Education,,
51,Floods,2010-12-01,2011-01-01,,,1,,EASTERN CAPE ,Department of Agriculture,,
52,Floods,2010-12-01,2011-01-01,,,1,,EASTERN CAPE ,Department of Health,,
53,Drought,,,,,1,,EASTERN CAPE ,Alfred Nzo,,
54,Drought,,,,,1,,EASTERN CAPE ,Amathole,,
55,Drought,,,,,1,,EASTERN CAPE ,Cacadu,,
56,Drought,,,,,1,,EASTERN CAPE ,Chris Hani,,
57,Drought,,,,,1,,EASTERN CAPE ,Joe Gqabi,,
58,Drought,,,,,1,,EASTERN CAPE ,OR Tambo,,
59,Drought,,,,,1,,EASTERN CAPE ,Nelson Mandela Bay,,
