ID_Event,ID_TypeImpact,TypeImapct,Measure
19,3,Bridges,5
19,5,Clinics,5
19,10,Fatality,13
19,18,Households,2376
19,19,Houses,2376
19,24,Roads,5
19,25,Schools,43
20,3,Bridges,
20,18,Households,184
20,19,Houses,184
20,24,Roads,5
20,25,Schools,5
21,3,Bridges,
21,19,Houses,93
21,24,Roads,3
21,25,Schools,4
22,19,Houses,
23,25,Schools,
24,3,Bridges,
24,24,Roads,
25,5,Clinics,
26,3,Bridges,10
26,24,Roads,10
27,3,Bridges,22
27,24,Roads,22
28,3,Bridges,22
28,10,Fatality,4
28,18,Households,1128
28,19,Houses,1943
28,24,Roads,22
29,3,Bridges,54
29,24,Roads,54
30,3,Bridges,14
30,24,Roads,14
31,3,Bridges,27
31,24,Roads,27
32,3,Bridges,27
32,24,Roads,27
33,3,Bridges,31
33,24,Roads,31
34,3,Bridges,36
34,24,Roads,36
35,8,Dams,2
35,13,Fire Hydrants,67
35,31,Water Infrastracture,4
36,19,Houses,1
36,24,Roads,21
36,30,Storm Water Drains,1
37,3,Bridges,3
37,19,Houses,1
37,24,Roads,51
37,30,Storm Water Drains,4
37,31,Water Infrastracture,10
38,6,Culverts,1
38,24,Roads,12
38,26,Sewer Reticulations,2
38,30,Storm Water Drains,5
39,3,Bridges,1
39,24,Roads,22
40,23,Pump Stations,1
40,24,Roads,3
41,23,Pump Stations,
41,24,Roads,12
42,3,Bridges,2
42,6,Culverts,9
42,24,Roads,31
42,30,Storm Water Drains,4
43,19,Houses,102
43,24,Roads,26
43,25,Schools,11
44,19,Houses,1909
44,24,Roads,23
44,25,Schools,21
45,19,Houses,543
45,24,Roads,49
45,25,Schools,36
46,19,Houses,21
46,24,Roads,8
46,25,Schools,36
47,19,Houses,374
47,24,Roads,11
47,25,Schools,12
48,19,Houses,4652
49,3,Bridges,
49,24,Roads,113
50,25,Schools,127
51,9,Farms,6
52,5,Clinics,1
53,31,Water Infrastracture,
54,31,Water Infrastracture,
55,31,Water Infrastracture,
56,31,Water Infrastracture,
57,31,Water Infrastracture,
58,31,Water Infrastracture,
59,31,Water Infrastracture,
83,1,Area Burnt,36922
83,2,Hay Bales,10000
83,9,Farms,223
83,11,Females Affected,44
83,64,Fences,167
83,22,Males Affected,181
83,67,Water Pipes,4.82
84,1,Area Burnt,44234000
84,9,Farms,8
84,10,Fatality,4
84,11,Females Affected,44
84,64,Fences,436
84,14,Game,116
84,15,Goats,249
84,17,Horses,20
84,19,Houses,21
84,20,Injury,3
84,21,Jojo Tanks,2
84,22,Males Affected,181
84,29,Stores/Sheds,10
84,67,Water Pipes,5.1
85,1,Area Burnt,110000
85,9,Farms,1
85,10,Fatality,2
85,11,Females Affected,4
85,64,Fences,511
85,16,Grazing Pasture,8141
85,19,Houses,4
85,20,Injury,3
85,22,Males Affected,18
85,28,Springboks,18
85,29,Stores/Sheds,2
85,67,Water Pipes,40
85,33,Zebra's,4
86,4,Cattle,12020
86,9,Farms,604
86,15,Goats,249
86,16,Grazing Pasture,93531
86,17,Horses,249
86,19,Houses,
86,27,Sheep,1207
86,29,Stores/Sheds,
86,32,Water Pipes,
91,3,Bridges,80
91,5,Clinics,14
91,9,Farms,26
91,19,Houses,1653
91,24,Roads,80
91,25,Schools,32
92,3,Bridges,31
92,9,Farms,8
92,19,Houses,1900
92,24,Roads,31
92,25,Schools,3
93,3,Bridges,34
93,9,Farms,51
93,19,Houses,918
93,24,Roads,34
94,9,Farms,85
95,25,Schools,35
96,5,Clinics,14
