ID_Event,RegionID,EventRegionName(temp),,
1,329,Elundini,,Lookup formula
2,345,Gariep,,329
3,402,Maletswai,,
4,483,Senqu,,
5,245,Amathole,,
6,243,Alfred Nzo,,
7,252,Chris Hani,,
8,266,Joe Gqabi,,
9,275,OR Tambo,,
10,6,Eastern Cape,,
11,6,Eastern Cape,,
12,6,Eastern Cape,,
13,6,Eastern Cape,,
14,6,Eastern Cape,,
15,329,Elundini,,
16,345,Gariep,,
17,402,Maletswai,,
18,483,Senqu,,
19,529,Ward1,,
19,530,Ward2,,
19,531,Ward3,,
19,532,Ward4,,
19,533,Ward5,,
19,534,Ward6,,
19,535,Ward7,,
19,536,Ward8,,
19,537,Ward9,,
19,538,Ward10,,
19,539,Ward11,,
19,540,Ward12,,
19,541,Ward13,,
19,542,Ward14,,
19,543,Ward15,,
19,544,Ward16,,
19,545,Ward17,,
19,546,Ward18,,
19,163,Ntabankulu,,
20,531,Ward3,,
20,532,Ward4,,
20,534,Ward6,,
20,535,Ward7,,
20,537,Ward9,,
20,543,Ward15,,
20,545,Ward17,,
20,553,Ward25,,
20,556,Ward28,,
20,416,Mbizana,,
21,532,Ward4,,
21,533,Ward5,,
21,534,Ward6,,
21,535,Ward7,,
21,536,Ward8,,
21,537,Ward9,,
21,539,Ward11,,
21,540,Ward12,,
21,544,Ward16,,
21,547,Ward19,,
21,548,Ward20,,
21,551,Ward23,,
21,553,Ward25,,
21,521,Umzimvubu,,
22,6,Eastern Cape,,
23,6,Eastern Cape,,
24,6,Eastern Cape,,
25,6,Eastern Cape,,
26,416,Mbizana,,
27,521,Umzimvubu,,
28,464,Nyandeni,,
29,363,Ingquza Hill,,
30,379,King Sabata Dalindyebo,,
31,183,Port St Johns,,
32,421,Mhlontlo,,
33,426,Mnquma,,
34,415,Mbhashe,,
35,266,Joe Gqabi,,
36,382,Kou-kamma,,
37,449,Ndlambe,,
38,383,Kouga,,
39,399,Makana,,
40,248,Cacadu,,
41,451,Nelson Mandela Bay Metro,,
42,6,Eastern Cape,,
43,243,Alfred Nzo,,
44,245,Amathole,,
45,252,Chris Hani,,
46,266,Joe Gqabi,,
47,275,OR Tambo,,
48,6,Eastern Cape,,
49,6,Eastern Cape,,
50,6,Eastern Cape,,
51,6,Eastern Cape,,
52,6,Eastern Cape,,
53,243,Alfred Nzo,,
54,245,Amathole,,
55,248,Cacadu,,
56,252,Chris Hani,,
57,266,Joe Gqabi,,
58,275,OR Tambo,,
59,451,Nelson Mandela Bay,,
60,407,Mantsopa,,
61,484,Setsoto,,
62,320,Dihlabeng,,
63,456,Nketoana,,
64,403,Maluti-a-Phofung,,
65,469,Phumelela,,
66,433,Moqhaka,,
67,454,Ngwathe,,
68,420,Metsimaholo,,
69,396,Mafube,,
70,393,Letsemeng,,
71,381,Kopanong,,
72,430,Mohokare,,
73,447,Naledi,,
74,411,Masilonyana,,
75,501,Tokologo,,
76,505,Tswelopele,,
77,413,Matjhabeng,,
78,445,Nala,,
79,406,Mangaung Metropolitan ,,
80,8,Free State,,
81,8,Free State,,
82,8,Free State,,
83,320,Dihlabeng ,,
84,403,Maluti-a-Phofung,,
85,430,Mohokare,,
86,8,Free State,,
87,8,Free State,,
88,8,Free State,,
89,8,Free State,,
90,6,Eastern Cape,,
91,282,Thabo Mofutsanyana,,
92,293,Xhariep ,,
93,262,Fezile Dabi,,
94,8,Free State,,
95,8,Free State,,
96,8,Free State,,
97,8,Free State,,
98,8,Free State,,
99,1,Gauteng,,
100,327,EKURHULENI METROPOLITAN,,
101,1,Gauteng,,
102,1,Gauteng,,
103,1,Gauteng,,
104,318,CITY OF TSHWANE METROPOLITAN,,
105,1,Gauteng,,
106,1,Gauteng,,
107,1,Gauteng,,
108,327,EKURHULENI METROPOLITAN,,
109,316,CITY OF JOHANNESBURG METROPOLITAN,,
110,318,CITY OF TSHWANE METROPOLITAN,,
110,545,Ward17,,
111,327,EKURHULENI METROPOLITAN,,
112,334,EMFULENI,,
113,422,MIDVAAL,,
114,292,WEST RAND,,
115,1,Gauteng,,
116,1,Gauteng,,
117,1,Gauteng,,
118,340,Ethekwini Metro,,
119,97,Jozini,,
120,285,uMkhanyakude,,
121,85,Hlabisa,,
122,151,Mtubatuba,,
123,510,uMhlabuyalingana,,
124,337,Endumeni,,
125,519,Umvoti,,
126,161,Nquthu,,
127,438,Msinga,,
128,523,uPhongolo,,
129,160,Nongoma,,
130,218,Ulundi,,
131,326,eDumbe,,
132,297,AbaQulusi,,
133,424,Mkhambathini,,
134,515,uMshwathi,,
135,194,Richmond,,
136,437,Mpofana,,
137,157,Newcastle,,
138,50,Dannhauser,,
139,330,eMadlangeni,,
140,335,Emnambithi,,
141,362,Indaka,,
142,517,uMtshezi,,
143,360,Imbabazane,,
144,357,Hibiscus Coast,,
145,509,Umdoni,,
146,522,Umzumbe,,
147,526,Vulamehlo,,
148,518,Umuziwabantu,,
149,462,Ntambanana,,
150,513,Umlalazi,,
151,159,Nkandla,,
152,288,uThungulu,,
153,288,uThungulu,,
154,133,Maphumulo,,
155,155,Ndwedwe,,
156,113,KwaDukuza,,
157,132,Mandeni,,
158,350,Greater Kokstad,,
159,506,Ubuhlebezwe,,
160,385,KwaSani,,
161,219,Umzimkhulu,,
162,2,KwaZulu-Natal,,
163,2,KwaZulu-Natal,,
164,2,KwaZulu-Natal,,
165,2,KwaZulu-Natal,,
166,2,KwaZulu-Natal,,
167,151,Mtubatuba,,
168,85,Hlabisa,,
169,285,uMkhanyakude,,
170,97,Jozini,,
171,510,uMhlabuyalingana,,
172,529,Ward1,,
172,537,Ward9,,
172,133,Maphumulo,,
173,537,Ward9,,
173,532,Ward4,,
173,155,Ndwedwe,,
174,539,Ward11,,
174,553,Ward25,,
174,529,Ward1,,
174,531,Ward3,,
174,549,Ward21,,
174,113,KwaDukuza,,
175,335,Emnambithi,,
176,535,Ward7,,
176,531,Ward3,,
176,529,Ward1,,
176,534,Ward6,,
176,532,Ward4,,
176,530,Ward2,,
176,537,Ward9,,
176,362,Indaka,,
177,465,Okhahlamba,,
178,517,Umtshezi,,
179,532,Ward4,,
179,530,Ward2,,
179,541,Ward13,,
179,540,Ward12,,
179,360,Imbabazane,,
180,509,Umdoni,,
181,522,Umzumbe,,
182,526,Vulamehlo,,
183,518,Umuziwabantu,,
184,288,uThungulu,,
185,462,Ntambanana,,
186,513,uMlalazi,,
187,159,Nkandla,,
188,161,Nquthu,,
189,529,Ward1,,
189,531,Ward3,,
189,537,Ward9,,
189,539,Ward11,,
189,438,Msinga,,
190,337,Endumeni,,
191,519,Umvoti,,
191,532,Ward4,,
191,535,Ward7,,
192,515,uMshwathi,,
193,194,Richmond,,
194,514,Umngeni,,
195,90,Impendle,,
196,424,Mkhambathini,,
197,530,Ward2,,
197,532,Ward4,,
197,437,Mpofana,,
198,350,Greater Kokstad,,
199,385,KwaSani,,
200,506,Ubuhlebezwe,,
201,2,KwaZulu-Natal,,
202,218,Ulundi,,
203,160,Nongoma,,
204,157,Newcastle,,
205,330,Emadlangeni,,
206,526,Vulamehlo,,
207,509,Umdoni,,
208,522,Umzumbe,,
209,283,Ugu,,
210,340,eThekwini,,
211,335,Emnambithi,,
212,465,Okhahlamba,,
213,2,KwaZulu-Natal,,
214,2,KwaZulu-Natal,,
215,340,eThekwini,,
216,340,eThekwini,,
217,283,Ugu,,
218,509,Umdoni,,
219,529,Ward1,,
219,530,Ward2,,
219,531,Ward3,,
219,532,Ward4,,
219,533,Ward5,,
219,534,Ward6,,
219,535,Ward7,,
219,536,Ward8,,
219,537,Ward9,,
219,538,Ward10,,
219,526,Vulamehlo,,
220,526,Vulamehlo,,
221,526,Vulamehlo,,
222,529,Ward1,,
222,530,Ward2,,
222,531,Ward3,,
222,533,Ward5,,
222,534,Ward6,,
222,535,Ward7,,
222,538,Ward10,,
222,542,Ward14,,
222,544,Ward16,,
222,547,Ward19,,
222,522,Umzumbe,,
223,522,Umzumbe,,
