ID_Event,ID_TypeMitigation,Date,Department,Value,Stakeholder
10,1,2016,Provincial Treasury,300000000,
12,2,2016,Department of Agriculture,52000000,
12,3,2016,Department of Agriculture,,
13,4,2016,Department of Water and Sanitation,4900000,
19,5,2014,Department of Human Settlements,488,
19,6,2014,Department of Human Settlements,41558648,
20,5,2014,Department of Human Settlements,,
21,5,2014,DeDepartment pt of Human Settlements,,
22,11,2014,Department of Human Settlements,"327,749,929",
23,11,2014,Department of Education,149919973,
24,11,2014,Department of Roads and Public Works,"126,000,000",
25,11,2014,Department of Health,1287304,
26,8,2013,Alfred Nzo,22500000,
26,9,2013,Alfred Nzo,3000000,
28,11,2013,OR Tambo,17032000,
29,10,2013,OR Tambo,53770000,
31,8,2013,OR Tambo,39640000,
31,9,2013,OR Tambo,39640000,
31,7,2013,OR Tambo,853508000,
32,8,2013,OR Tambo,39160000,
32,9,2013,OR Tambo,46000000,
33,9,2013,Amathole,54200000,
34,7,2013,Amathole,67960000,
35,11,2013,Joe Gqabi,43550000,
35,11,2013,Department of Health,2912000,
35,11,2013,Dept of Rural Development and Agrarian Reform,406609215,
36,7,2012,Cacadu,50000,
36,12,2012,Cacadu,8439000,
37,7,2012,Cacadu,30760000,
37,12,2012,Cacadu,15353000,
38,7,2012,Cacadu,3014300,
38,12,2012,Cacadu,4477000,
39,7,2012,Cacadu,2787803,
39,12,2012,Cacadu,8724000,
40,7,2012,Cacadu,232500,
40,12,2012,Cacadu,2396000,
41,7,2012,Nelson Mandela Bay Metro,6730000,
41,12,2012,Nelson Mandela Bay Metro,71961000,
42,13,2012,Provincial Roads Department,1000000,
48,14,2011,Department of Human Settlements,56700000,
48,11,2011,Department of Human Settlements,93274000,
48,7,2011,Department of Human Settlements,94500000,
48,12,2011,Department of Human Settlements,244474000,
49,14,2011,Department of Transport,81408000,
49,11,2011,Department of Transport,166933000,
49,7,2011,Department of Transport,171929000,
49,12,2011,Department of Transport,420270000,
50,13,2011,Department of Education,207000000,
50,14,2011,Department of Education,125100000,
50,11,2011,Department of Education,83400000,
50,7,2011,Department of Education,110791000,
50,12,2011,Department of Education,319291000,
51,14,2011,Department of Agriculture,997000,
51,11,2011,Department of Agriculture,2011000,
51,7,2011,Department of Agriculture,1510000,
51,12,2011,Department of Agriculture,4518000,
52,14,2011,Department of Health,509000,
52,12,2011,Department of Health,509000,
53,12,2011,Alfred Nzo,10129000,
54,12,2011,Amathole,17011000,
55,12,2011,Cacadu,9728000,
56,12,2011,Chris Hani,14216000,
57,12,2011,Joe Gqabi,11204000,
58,12,2011,OR Tambo,24569000,
59,12,2011,Nelson Mandela Bay,450000000,
80,2,2015,Dept of Agriculture,45000000,
81,2,2015,Dept of Rural Dev,14500000,
81,15,2015,Dept of Rural Dev,,
81,16,2015,Dept of Rural Dev,,
82,17,2015,Dept of Water and Sanitation,5700000,
85,13,2014,Xhariep ,5000000,
86,11,2014,Provincial Dept of Agriculture and Rural Development,118117044,
86,7,2014,Provincial Dept of Agriculture and Rural Development,15790824,
91,19,2010,PDMC,,
91,21,2010,PDMC,,
94,14,2010,Department of Agriculture,4486802,
94,11,2010,Department of Agriculture,12000000,
94,7,2010,Department of Agriculture,9000000,
94,12,2010,Department of Agriculture,9000000,
95,14,2010,Department of Education,6894000,
95,11,2010,Department of Education,4608000,
95,7,2010,Department of Education,6121417,
96,14,2010,Dept of Health,2549000,
97,14,2010,Dept of Human Settlements,44100000,
97,11,2010,Dept of Human Settlements,72546742,
97,7,2010,Dept of Human Settlements,73500000,
98,14,2010,Dept of Transport,21768000,
98,11,2010,Dept of Transport,44636862,
98,7,2010,Dept of Transport,33477624,
98,12,2010,Dept of Transport,33477624,
101,7,2015,Department of Basic Edutcation,14019000,
102,7,2015,Department of Human Settlements,21569000,
104,18,2013,City of Tshwane Metropolitan,3900000,
104,11,2013,City of Tshwane Metropolitan,703150000,
104,7,2013,City of Tshwane Metropolitan,17097691,
105,7,2013,Department of Human Settlements,84854652,
106,7,2013,Department of Health,307177,
108,18,2011,Ekurhuleni Metropolitan,2500000,
108,13,2011,Ekurhuleni Metropolitan,14773207,
108,11,2011,Ekurhuleni Metropolitan,45636194.87,
110,18,2010,City of Tshwane Metropolitan,3000000,
115,13,2010,Department of Human Settlements,36000,
115,14,2010,Department of Human Settlements,59222,
115,11,2010,Department of Human Settlements,60000,
115,12,2010,Department of Human Settlements,155222,
116,13,2010,Department of Agriculture,1745000,
116,14,2010,Department of Agriculture,2085044,
116,11,2010,Department of Agriculture,2085044,
116,7,2010,Department of Agriculture,2085044,
116,12,2010,Department of Agriculture,8000132,
117,13,2010,Department of Transport,158400,
117,14,2010,Department of Transport,1919335,
117,11,2010,Department of Transport,1439501,
